iters,train_acc,test_acc
269,0.9879,0.9779
270,0.9877,0.9783
271,0.988,0.9784
272,0.9875,0.9793
273,0.9878,0.9785
274,0.9881,0.9785
275,0.9878,0.9789
276,0.988,0.9786
277,0.9878,0.9789
278,0.988,0.9785
279,0.988,0.9787
280,0.988,0.9779
281,0.988,0.9782
282,0.9879,0.9785
283,0.988,0.9785
284,0.9879,0.9778
285,0.9876,0.9788
286,0.9878,0.9788
287,0.9878,0.9785
288,0.988,0.9786
289,0.9877,0.9792
290,0.9879,0.9785
291,0.9881,0.978
292,0.9876,0.9789
293,0.988,0.9797
294,0.9883,0.9782
295,0.9878,0.9791
296,0.9879,0.9784
297,0.9881,0.9777
298,0.9876,0.979
299,0.9874,0.9791
300,0.9882,0.9789
301,0.9876,0.9791
302,0.9878,0.9787
303,0.9879,0.9788
304,0.988,0.979
305,0.988,0.9788
306,0.988,0.9794
307,0.9878,0.9789
308,0.9877,0.9788
309,0.9879,0.9787
310,0.9878,0.9785
311,0.988,0.9788
312,0.9882,0.9792
313,0.988,0.9786
314,0.988,0.9787
315,0.9878,0.9788
316,0.9879,0.9773
317,0.9878,0.979
318,0.9882,0.979
319,0.9881,0.9789
320,0.9881,0.9789
321,0.9879,0.9797
322,0.988,0.9794
323,0.9877,0.979
324,0.9881,0.9788
325,0.9878,0.9794
326,0.9878,0.979
327,0.9881,0.9788
328,0.988,0.9792
329,0.9881,0.9785
330,0.9882,0.9789
331,0.9881,0.9794
332,0.9883,0.979
333,0.9879,0.9796
334,0.9882,0.9791
335,0.9885,0.9787
336,0.9881,0.9789
337,0.988,0.9793
338,0.9882,0.978
339,0.9881,0.979
340,0.9882,0.9795
341,0.988,0.9786
342,0.9882,0.9788
343,0.9882,0.9784
344,0.9881,0.979
345,0.9882,0.9788
346,0.9884,0.9781
347,0.9885,0.9786
348,0.9878,0.9791
349,0.9881,0.9791
350,0.9884,0.9789
351,0.9883,0.9793
352,0.9877,0.9787
353,0.9881,0.9793
354,0.9882,0.9789
355,0.9884,0.9788
356,0.9881,0.9794
357,0.9884,0.9791
358,0.9884,0.9784
359,0.9883,0.9792
360,0.9883,0.9793
361,0.9882,0.9782
362,0.9878,0.979
363,0.9882,0.9795
364,0.9879,0.9794
365,0.9881,0.9788
366,0.9882,0.9796
367,0.9882,0.9798
368,0.9883,0.9791
369,0.9881,0.9794
370,0.988,0.9789
371,0.988,0.979
372,0.9882,0.9788
373,0.9884,0.979
374,0.9881,0.9787
375,0.9882,0.9786
376,0.988,0.9788
377,0.9884,0.9794
378,0.9881,0.9792
379,0.9883,0.9787
380,0.9882,0.9791
381,0.9883,0.9789
382,0.988,0.9785
383,0.9882,0.9786
384,0.9884,0.9788
385,0.9879,0.9796
386,0.9882,0.9797
387,0.9882,0.9788
388,0.9882,0.9792
389,0.9882,0.9793
390,0.9882,0.9785
391,0.9884,0.9786
392,0.9883,0.9793
393,0.9882,0.9793
394,0.9882,0.9789
395,0.9881,0.9793
396,0.9882,0.9791
397,0.9883,0.979
398,0.9881,0.9799
399,0.9881,0.9791
400,0.9886,0.9795
401,0.9882,0.9796
402,0.988,0.9786
403,0.9879,0.9794
404,0.9883,0.9788
405,0.9884,0.9796
406,0.988,0.9794
407,0.988,0.9795
408,0.9882,0.9797
409,0.988,0.9795
410,0.9884,0.9797
411,0.9883,0.9795
412,0.9882,0.9797
413,0.9882,0.9793
414,0.988,0.98
415,0.9883,0.9792
416,0.9882,0.9798
417,0.9882,0.979
418,0.9882,0.9792
419,0.9882,0.9792
420,0.9883,0.9793
421,0.9882,0.9792
422,0.9883,0.9789
423,0.9884,0.9796
424,0.9885,0.9792
425,0.9884,0.9793
426,0.9884,0.9794
427,0.9882,0.9796
428,0.9882,0.9797
429,0.9884,0.9789
430,0.9886,0.9785
431,0.988,0.9789
432,0.9882,0.9795
433,0.9882,0.9792
434,0.9882,0.9792
435,0.9881,0.9796
436,0.9882,0.9796
437,0.9883,0.9791
438,0.9885,0.9793
439,0.9883,0.9788
440,0.9886,0.9792
441,0.9878,0.9794
442,0.9884,0.9796
443,0.9883,0.9805
444,0.9884,0.9789
445,0.9885,0.9793
446,0.9884,0.979
447,0.9884,0.9795
448,0.9883,0.9797
449,0.9885,0.9796
450,0.9884,0.9793
451,0.9883,0.98
452,0.9882,0.9796
453,0.9884,0.9794
454,0.9884,0.9799
455,0.9884,0.9795
456,0.9883,0.9794
457,0.9884,0.9797
458,0.9885,0.979
459,0.9882,0.9791
460,0.9881,0.9798
461,0.9886,0.9799
462,0.9883,0.9793
463,0.9885,0.979
464,0.9883,0.9797
465,0.9884,0.9796
466,0.9885,0.9793
467,0.9882,0.9791
468,0.9885,0.9792
469,0.9881,0.9796
470,0.9883,0.9791
471,0.9884,0.9796
472,0.9885,0.9793
473,0.9885,0.9789
474,0.9882,0.9786
475,0.9885,0.9798
476,0.9884,0.9794
477,0.9884,0.9792
478,0.9884,0.9797
479,0.9882,0.9798
480,0.9883,0.9797
481,0.9884,0.9798
482,0.9884,0.9796
483,0.9885,0.979
484,0.9886,0.9791
485,0.9885,0.9795
486,0.9884,0.9796
487,0.9884,0.9796
488,0.9886,0.9791
489,0.9884,0.9794
490,0.9884,0.9796
491,0.9884,0.9799
492,0.9884,0.9797
493,0.9886,0.9798
494,0.9883,0.9787
495,0.9884,0.9793
496,0.9882,0.9801
497,0.9883,0.9798
498,0.9883,0.9787
499,0.9884,0.9795
500,0.9886,0.9796
501,0.9884,0.9796
502,0.9884,0.9788
503,0.9883,0.9795
504,0.9884,0.9793
505,0.9885,0.9797
506,0.9884,0.9799
